id_leitura,id_unidade,id_usina,data_hora,geracao_mwh,consumo_combustivel,disponibilidade,temperatura_c
1,1,1,2025-06-01 00:00:00,79.889,15.394,0.9718,47.8
2,2,1,2025-06-01 00:00:00,70.456,14.471,0.9643,43.6
3,3,1,2025-06-01 00:00:00,62.262,12.44,0.9539,79.8
4,4,1,2025-06-01 00:00:00,68.843,13.31,0.9362,94.8
5,5,1,2025-06-01 00:00:00,62.232,11.808,0.9756,86.7
6,6,1,2025-06-01 00:00:00,62.563,11.036,0.968,70.8
7,7,1,2025-06-01 00:00:00,67.848,13.151,0.9468,50.1
8,8,1,2025-06-01 00:00:00,71.687,14.889,0.968,41.9
9,9,2,2025-06-01 00:00:00,60.934,12.189,0.9769,55.4
10,10,2,2025-06-01 00:00:00,50.573,8.917,0.9003,78.3
11,11,2,2025-06-01 00:00:00,58.041,12.123,0.9762,65.5
12,12,2,2025-06-01 00:00:00,47.295,9.223,0.9842,65.5
13,13,2,2025-06-01 00:00:00,48.916,9.047,0.9162,92.2
14,14,2,2025-06-01 00:00:00,61.594,12.734,0.9599,64.3
15,15,2,2025-06-01 00:00:00,47.39,8.744,0.9985,83.4
16,16,2,2025-06-01 00:00:00,49.626,8.915,0.9567,39.7
17,17,3,2025-06-01 00:00:00,39.944,8.094,0.9978,67.0
18,18,3,2025-06-01 00:00:00,32.661,6.414,0.9947,44.9
19,19,3,2025-06-01 00:00:00,37.49,7.283,0.9964,90.7
20,20,3,2025-06-01 00:00:00,40.225,7.948,0.9713,58.9
21,21,4,2025-06-01 00:00:00,6.169,1.141,0.99,62.1
22,22,4,2025-06-01 00:00:00,5.369,0.926,0.9021,68.2
23,23,4,2025-06-01 00:00:00,6.012,1.024,0.9708,38.5
24,24,4,2025-06-01 00:00:00,5.027,0.861,0.933,65.8
25,25,4,2025-06-01 00:00:00,5.426,1.028,0.9539,78.4
26,26,4,2025-06-01 00:00:00,6.568,1.268,0.9243,63.4
27,27,4,2025-06-01 00:00:00,5.669,0.985,0.9659,56.3
28,28,4,2025-06-01 00:00:00,5.677,1.161,0.9054,74.2
29,29,5,2025-06-01 00:00:00,84.124,14.505,0.9728,83.0
30,30,5,2025-06-01 00:00:00,70.178,12.468,0.9536,43.4
31,31,5,2025-06-01 00:00:00,72.106,13.592,0.9874,39.5
32,32,5,2025-06-01 00:00:00,88.328,18.04,0.9098,74.1
33,33,6,2025-06-01 00:00:00,29.778,5.08,0.9093,80.2
34,34,6,2025-06-01 00:00:00,26.887,5.008,0.9481,86.9
35,35,6,2025-06-01 00:00:00,33.217,5.866,0.9002,58.4
36,36,6,2025-06-01 00:00:00,33.446,6.736,0.9285,76.8
37,37,7,2025-06-01 00:00:00,161.503,70.227,0.9662,64.2
38,38,7,2025-06-01 00:00:00,135.229,53.448,0.9058,79.1
39,39,8,2025-06-01 00:00:00,261.507,105.113,0.905,63.6
40,40,9,2025-06-01 00:00:00,55.661,10.645,0.9057,65.5
41,41,9,2025-06-01 00:00:00,54.583,9.429,0.9068,86.7
42,42,9,2025-06-01 00:00:00,47.489,9.862,0.957,69.7
43,43,10,2025-06-01 00:00:00,0.0,0.0,0.904,27.9
44,44,10,2025-06-01 00:00:00,0.0,0.0,0.9657,44.8
45,45,10,2025-06-01 00:00:00,0.0,0.0,0.9316,34.1
46,46,10,2025-06-01 00:00:00,0.0,0.0,0.967,36.0
47,47,10,2025-06-01 00:00:00,0.0,0.0,0.9266,29.6
48,48,10,2025-06-01 00:00:00,0.0,0.0,0.9646,41.0
49,49,10,2025-06-01 00:00:00,0.0,0.0,0.9929,57.8
50,50,10,2025-06-01 00:00:00,0.0,0.0,0.9009,46.7
51,51,10,2025-06-01 00:00:00,0.0,0.0,0.9563,28.5
52,52,10,2025-06-01 00:00:00,0.0,0.0,0.9538,42.7
53,53,11,2025-06-01 00:00:00,0.0,0.0,0.9132,37.2
54,54,11,2025-06-01 00:00:00,0.0,0.0,0.9069,33.5
55,55,11,2025-06-01 00:00:00,0.0,0.0,0.9285,40.3
56,56,11,2025-06-01 00:00:00,0.0,0.0,0.9543,35.6
57,57,11,2025-06-01 00:00:00,0.0,0.0,0.9984,53.2
58,58,11,2025-06-01 00:00:00,0.0,0.0,0.9529,48.4
59,59,12,2025-06-01 00:00:00,55.573,11.519,0.9104,87.7
